engine,asset_class,score_group,symbol,regime,timeframe_style,parameter_set,trade_count,pass_count,fail_count,win_rate,expectancy,max_drawdown,sqn,average_rr_achieved,level_mode,fallback_tp_applied,sample_size_warning,robust_rank_score,sample_period,split_label,parameter_variants_tested,threshold_candidate,threshold_filter_applied,raw_source_count,admitted_count,excluded_by_threshold_count,threshold_filter_reason,parameters
ENGINE_B,,,DAX 40,RANGING,intraday,engine_b_f1b9d9cacf,1,0,1,0.0,-0.22,,,-0.22,,,True,-0.0165,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,DAX 40,RANGING,intraday,engine_b_fd521a89d4,1,0,1,0.0,-0.22,,,-0.22,,,True,-0.0165,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,AUD/USD,LOW_VOLATILITY,intraday,engine_b_f1b9d9cacf,2,0,2,0.0,-0.145,,,-0.145,,,True,-0.02175,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,AUD/USD,LOW_VOLATILITY,intraday,engine_b_fd521a89d4,2,0,2,0.0,-0.145,,,-0.145,,,True,-0.02175,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,AUD/JPY,HH_HL,intraday,engine_b_f1b9d9cacf,1,0,1,0.0,-0.36,,,-0.36,,,True,-0.027,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,AUD/JPY,HH_HL,intraday,engine_b_fd521a89d4,1,0,1,0.0,-0.36,,,-0.36,,,True,-0.027,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,AUD/NZD,LOW_VOLATILITY,intraday,engine_b_f1b9d9cacf,2,0,2,0.0,-0.2,,,-0.2,,,True,-0.03,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,AUD/NZD,LOW_VOLATILITY,intraday,engine_b_fd521a89d4,2,0,2,0.0,-0.2,,,-0.2,,,True,-0.03,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,TRX/USDT,RANGING,intraday,engine_b_f1b9d9cacf,1,0,1,0.0,-0.42,,,-0.42,,,True,-0.0315,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": true, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
ENGINE_B,,,TRX/USDT,RANGING,intraday,engine_b_fd521a89d4,1,0,1,0.0,-0.42,,,-0.42,,,True,-0.0315,unspecified,unspecified,2,4.0,True,190,88,102,score_gte_candidate_threshold,"{""fallback_tp_enabled"": false, ""min_room_atr"": 0.25, ""regime_multiplier"": 1.0, ""style"": ""intraday"", ""style_min_rr"": 1.5, ""style_min_score"": 4.0}"
