strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
macd_direction,24,0,4,20,-0.050365,0.282741,0.556142,-2.839803,-0.029737,1736,0.166667,HURTS
pullback_ema,48,0,0,47,-0.057039,0.134428,0.511662,-4.782520,-0.025058,2498,0.000000,HURTS
session_opening_range,48,0,6,42,-0.035793,0.293612,0.473591,-2.365663,-0.023091,2230,0.125000,HURTS
prev_day_hl,36,0,5,9,-0.018803,0.363592,0.468628,-0.491611,-0.032942,901,0.138889,HURTS
ema_alignment,36,0,0,3,-0.065540,0.166667,0.369041,-4.560179,-0.021504,525,0.000000,HURTS
ema_cross,432,0,0,133,-0.049393,0.178002,0.360796,-2.682072,-0.020748,7182,0.000000,HURTS
bollinger_touch,24,0,2,20,-0.020018,0.493945,0.338767,-1.231411,0.004104,721,0.083333,HELPS
london_breakout,24,0,0,2,-0.014414,0.307692,0.256000,-0.420919,-0.012769,405,0.000000,HURTS
ny_breakout,24,0,0,0,,,,,,218,0.000000,NEUTRAL
rsi_extreme,48,0,0,0,,,,,,540,0.000000,NEUTRAL
vwap_deviation,24,0,0,0,,,,,,236,0.000000,NEUTRAL
