asset_class,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
commodity,0.376373,50,1.739569,50,0.006018,50,0.403480,50,0.791860,50,0.199525,50,-0.028607,50,0.452054,50,49.580000,50
crypto,0.490907,34,1.479038,34,0.004291,34,0.382492,34,0.777737,34,0.171181,34,-0.027078,34,0.478756,34,57.617647,34
forex,0.427840,36,1.307443,36,0.000703,36,0.254566,36,0.514259,36,0.025626,36,-0.014136,36,0.442377,36,40.444444,36
index,0.418445,32,1.428738,32,0.001249,32,0.308538,32,0.632301,32,0.042271,32,0.002227,32,0.464143,32,43.531250,32
stock,0.444342,21,1.214572,21,0.001397,21,0.288607,21,0.370602,21,0.048218,21,-0.029068,21,0.451823,21,36.619048,21
