strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,pass_rate,verdict
ema_scalp_pullback,96,0,4,87,-0.191395,0.165385,0.544095,-3.937395,0.041667,HURTS
micro_breakout,192,4,32,146,-0.107694,0.284457,0.516540,-2.161698,0.187500,HURTS
macd_direction,96,1,9,84,-0.119914,0.289617,0.514725,-1.931616,0.104167,HURTS
pullback_ema,192,0,14,153,-0.080748,0.156689,0.471683,-2.847306,0.072917,HURTS
prev_day_hl,144,1,9,34,-0.121691,0.332529,0.458476,-1.072867,0.069444,HURTS
structure_filters,192,1,15,164,-0.179393,0.246159,0.455924,-4.345831,0.083333,HURTS
session_opening_range,192,0,32,137,-0.078791,0.292330,0.451957,-1.635636,0.166667,HURTS
london_breakout,96,0,2,8,-0.064066,0.324066,0.369171,-0.807605,0.020833,HURTS
ob_bos,384,0,0,38,-0.091445,0.262627,0.361779,-1.992685,0.000000,HURTS
bollinger_touch,96,2,22,52,0.008673,0.561377,0.361303,-0.430077,0.250000,NEUTRAL
bb_squeeze_breakout,192,0,13,127,-0.054953,0.287628,0.355277,-1.852728,0.067708,HURTS
ema_cross,1728,0,6,485,-0.130305,0.166040,0.343150,-2.572730,0.003472,HURTS
atr_compression,192,0,4,48,-0.079425,0.176606,0.336566,-1.962907,0.020833,HURTS
vwap_reclaim,192,0,0,12,-0.158792,0.083135,0.329363,-5.879000,0.000000,HURTS
ema_alignment,144,0,0,7,-0.137523,0.110753,0.275146,-3.748195,0.000000,HURTS
ny_breakout,96,0,2,7,-0.058975,0.348999,0.263525,-0.448904,0.020833,HURTS
rsi_extreme,192,0,0,1,-0.027483,0.318182,0.232000,-1.642898,0.000000,HURTS
vwap_deviation,96,0,0,0,,,,,0.000000,NEUTRAL
