timeframe,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
D1,0.368187,4,2.272042,4,0.019753,4,0.513141,4,1.035563,4,1.130554,4,0.219983,4,0.693550,4,47.750000,4
H4,0.699405,2,1.399849,2,0.004003,2,0.875758,2,0.718780,2,0.133601,2,0.093141,2,0.627051,2,33.000000,2
