run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,data_source
run_20260427_163244,BTC/USDT,crypto,H4,volatility,bb_squeeze_breakout,confirm_ema=False|period=20|squeeze_pct=20,both,all,REJECT,25,0.320000,0.490202,-0.005898,-0.005898,-0.142160,-1.748350,-1.481445,0.025025,9.120000,-0.141773,-0.141773,-0.037899,-0.107965,0.300000,,,binance_rest
run_20260427_163244,BTC/USDT,crypto,H4,volatility,bb_squeeze_breakout,confirm_ema=True|period=20|squeeze_pct=30,both,all,REJECT,27,0.370370,0.549327,-0.005864,-0.005864,-0.152908,-1.631633,-1.371138,0.027027,9.037037,-0.152525,-0.152525,-0.076871,-0.081955,0.582159,,,binance_rest
run_20260427_163244,BTC/USDT,crypto,H4,volatility,bb_squeeze_breakout,confirm_ema=False|period=20|squeeze_pct=30,both,all,REJECT,27,0.333333,0.543249,-0.005979,-0.005979,-0.155543,-1.663571,-1.399853,0.027027,9.296296,-0.155162,-0.155162,-0.079743,-0.081955,0.593678,,,binance_rest
run_20260427_163244,BTC/USDT,crypto,H4,volatility,atr_compression,confirm_ema=True|period=14|squeeze_pct=20,both,all,NEEDS_MORE_DATA,19,,,,,,,,,,,,,,1.000000,,only 19 trades < min 20,binance_rest
run_20260427_163244,BTC/USDT,crypto,H4,volatility,atr_compression,confirm_ema=False|period=14|squeeze_pct=20,both,all,NEEDS_MORE_DATA,18,,,,,,,,,,,,,,1.000000,,only 18 trades < min 20,binance_rest
run_20260427_163244,BTC/USDT,crypto,H4,volatility,atr_compression,confirm_ema=True|period=14|squeeze_pct=30,both,all,REJECT,20,0.200000,0.122827,-0.017694,-0.017694,-0.307328,-3.442135,-3.566560,0.020020,18.950000,-0.303842,-0.303842,-0.243700,-0.035572,0.263790,,,binance_rest
run_20260427_163244,BTC/USDT,crypto,H4,volatility,atr_compression,confirm_ema=False|period=14|squeeze_pct=30,both,all,REJECT,23,0.304348,0.155081,-0.013320,-0.013320,-0.275918,-3.145769,-3.010824,0.023023,14.652174,-0.269340,-0.269340,-0.215207,-0.024525,0.272187,,,binance_rest
run_20260427_163244,EUR/USD,forex,H4,volatility,bb_squeeze_breakout,confirm_ema=True|period=20|squeeze_pct=20,both,all,REJECT,23,0.434783,0.989156,-0.000011,-0.000011,-0.009863,-0.025105,-0.020417,0.023023,9.130435,-0.000326,-0.000326,0.000224,-0.000550,0.514787,,,mt5
run_20260427_163244,EUR/USD,forex,H4,volatility,bb_squeeze_breakout,confirm_ema=False|period=20|squeeze_pct=20,both,all,WEAK_CANDIDATE,21,0.476190,1.228242,0.000237,0.000237,-0.011232,0.460584,0.375801,0.021021,11.761905,0.004910,0.004910,0.005463,-0.000550,0.495626,,,mt5
run_20260427_163244,EUR/USD,forex,H4,volatility,bb_squeeze_breakout,confirm_ema=True|period=20|squeeze_pct=30,both,all,REJECT,27,0.333333,0.601031,-0.000673,-0.000673,-0.022878,-1.321758,-1.098023,0.027027,9.777778,-0.018141,-0.018141,-0.000561,-0.017589,0.302000,,,mt5
