asset_class,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
crypto,0.705822,4,1.742395,4,0.007001,4,1.165903,4,0.995984,4,0.202562,4,0.122540,4,0.563539,4,32.250000,4
index,0.636364,1,2.521371,1,0.003283,1,2.248507,1,1.925353,1,0.112464,1,0.029063,1,0.603714,1,33.000000,1
