timeframe,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
H1,0.710769,5,5.935302,5,0.004067,5,2.886788,5,1.759088,5,0.096371,5,0.062138,5,0.570454,5,26.400000,5
M15,0.748766,5,4.112624,5,0.001672,5,3.387967,5,1.627608,5,0.041442,5,-0.004346,5,0.472037,5,26.400000,5
