asset_class,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
commodity,0.515625,2,3.835808,2,0.012404,2,2.393404,2,2.089493,2,0.395233,2,0.038652,2,0.429360,2,28.000000,2
crypto,0.379518,1,1.085196,1,0.000855,1,0.446228,1,0.363016,1,0.068881,1,-0.093248,1,0.525000,1,166.000000,1
