symbol,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
AUD/USD,0.393185,12,1.394408,12,0.001076,12,0.818079,12,0.626056,12,0.035940,12,-0.010774,12,0.428754,12,30.083333,12
EUR/USD,0.442899,4,1.041823,4,0.000083,4,0.163572,4,0.133061,4,0.004656,4,-0.012171,4,0.533333,4,59.500000,4
GBP/USD,0.640000,1,1.557238,1,0.000386,1,2.300975,1,0.952027,1,0.009648,1,0.007940,1,0.502635,1,25.000000,1
USD/JPY,0.381568,5,1.185785,5,0.000487,5,0.496655,5,0.405124,5,0.024311,5,-0.060354,5,0.520533,5,46.600000,5
