run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason,rank_score
run_20260426_095404,ETH/USDT,crypto,H4,mean_reversion,bollinger_touch,num_std=2.5|period=20,both,all,STRONG_CANDIDATE,24,0.750000,2.763907,0.015081,0.015081,-0.136926,0.981362,2.127194,0.024024,13.291667,0.411682,0.411682,0.189159,0.187127,0.640776,,,0.486437
run_20260426_095404,ETH/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=0|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,54,0.500000,1.926154,0.006069,0.006069,-0.120079,0.805448,1.641943,0.054054,18.259259,0.360064,0.360064,0.207314,0.052292,0.575671,,,0.428694
run_20260426_095404,BTC/USDT,crypto,H4,breakout,session_opening_range,atr_expand_min=0.5|range_bars=6,both,all,WEAK_CANDIDATE,51,0.450980,1.756647,0.007335,0.007335,-0.113725,0.698475,1.417155,0.051051,18.882353,0.404351,0.404351,0.488095,-0.107136,0.500000,,,0.399649
run_20260426_095404,BTC/USDT,crypto,H4,breakout,session_opening_range,atr_expand_min=0.0|range_bars=6,both,all,WEAK_CANDIDATE,51,0.450980,1.756647,0.007335,0.007335,-0.113725,0.698475,1.417155,0.051051,18.882353,0.404351,0.404351,0.488095,-0.107136,0.500000,,,0.399649
run_20260426_095404,ETH/USDT,crypto,H1,trend_momentum,macd_direction,adx_min=20|fast=12|signal_period=9|slow=26,both,all,WEAK_CANDIDATE,52,0.500000,1.871891,0.005845,0.005845,-0.120079,0.754794,1.535562,0.052052,18.500000,0.328675,0.328675,0.207314,0.028006,0.540528,,,0.399578
run_20260426_095404,XAU/USD,commodity,H4,breakout,prev_day_hl,atr_expand_min=0.5,both,all,STRONG_CANDIDATE,67,0.417910,1.310486,0.002375,0.002375,-0.126395,0.405637,0.811747,0.067067,14.104478,0.150553,0.150553,0.110222,0.040143,0.609260,,,0.366031
run_20260426_095404,BTC/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=1.0,both,all,WEAK_CANDIDATE,46,0.456522,1.887332,0.006973,0.006973,-0.098029,0.606677,1.227259,0.046046,15.717391,0.333853,0.333853,0.420382,-0.060919,0.476000,,,0.362701
run_20260426_095404,BTC/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=0.0,both,all,WEAK_CANDIDATE,69,0.391304,1.394563,0.003834,0.003834,-0.159683,0.437293,0.875603,0.069069,14.434783,0.247410,0.247410,0.311663,-0.105737,0.500000,,,0.341735
run_20260426_095404,BTC/USDT,crypto,H4,breakout,prev_day_hl,atr_expand_min=0.5,both,all,WEAK_CANDIDATE,68,0.397059,1.384784,0.003824,0.003824,-0.159683,0.429101,0.859103,0.068068,14.264706,0.241602,0.241602,0.305556,-0.105737,0.500000,,,0.339663
run_20260426_095404,US500,index,H4,mean_reversion,bollinger_touch,num_std=2.0|period=20,both,all,WEAK_CANDIDATE,33,0.636364,2.521371,0.003283,0.003283,-0.035409,0.917949,1.925353,0.033033,13.272727,0.112464,0.112464,0.082476,0.029063,0.503714,,,0.324103
