run_id,symbol,asset_class,timeframe,family,strategy_name,params_str,direction,session,status,trade_count,win_rate,profit_factor,avg_return,expectancy,max_drawdown,sharpe,sqn,exposure_pct,avg_duration_bars,gross_return,net_return,is_return,oos_return,robustness_score,param_sensitivity,skip_reason
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=True|slow_period=50,both,all,REJECT,23,0.173913,0.391480,-0.002773,-0.002773,-0.079714,-0.875928,-1.869997,0.023023,43.260870,-0.062423,-0.062423,-0.068394,-0.012777,0.294045,,
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=False|slow_period=50,both,all,REJECT,21,0.190476,0.434179,-0.002547,-0.002547,-0.070152,-0.749556,-1.577374,0.021021,46.904762,-0.052682,-0.052682,-0.058715,-0.012777,0.291284,,
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=True|slow_period=50,both,all,REJECT,21,0.190476,0.434179,-0.002547,-0.002547,-0.070152,-0.749556,-1.577374,0.021021,46.904762,-0.052682,-0.052682,-0.058715,-0.012777,0.291284,,
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=False|slow_period=50,both,all,NEEDS_MORE_DATA,17,,,,,,,,,,,,,,,,only 17 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=True|slow_period=50,both,all,NEEDS_MORE_DATA,17,,,,,,,,,,,,,,,,only 17 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=False|slow_period=100,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,,,only 15 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=True|slow_period=100,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,,,only 15 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=False|slow_period=100,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,,,only 15 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=True|slow_period=100,both,all,NEEDS_MORE_DATA,15,,,,,,,,,,,,,,,,only 15 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=False|slow_period=100,both,all,NEEDS_MORE_DATA,13,,,,,,,,,,,,,,,,only 13 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=25|fast_period=20|rsi_confirm=True|slow_period=100,both,all,NEEDS_MORE_DATA,13,,,,,,,,,,,,,,,,only 13 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=False|slow_period=200,both,all,NEEDS_MORE_DATA,11,,,,,,,,,,,,,,,,only 11 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=0|fast_period=20|rsi_confirm=True|slow_period=200,both,all,NEEDS_MORE_DATA,11,,,,,,,,,,,,,,,,only 11 trades < min 20
run_20260426_095404,GBP/USD,forex,H1,trend_momentum,ema_cross,adx_min=20|fast_period=20|rsi_confirm=False|slow_period=200,both,all,NEEDS_MORE_DATA,11,,,,,,,,,,,,,,,,only 11 trades < min 20
