strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,40,1,0,0,0.059576,0.714286,0.981881,1.253881,0.029001,478,0.025000,HELPS
ny_breakout,20,0,0,2,-0.141949,0.200000,0.942964,-1.514814,-0.077477,278,0.000000,HURTS
london_breakout,20,0,0,2,-0.125185,0.250000,0.937536,-1.456310,-0.043986,247,0.000000,HURTS
prev_day_hl,30,0,0,3,-0.454668,0.136364,0.930623,-3.959358,-0.092735,299,0.000000,HURTS
vwap_reclaim,40,0,0,6,-0.141644,0.082540,0.799724,-3.804526,-0.085587,464,0.000000,HURTS
ema_scalp_pullback,20,0,0,20,-0.258300,0.157743,0.577559,-3.651917,-0.107291,2688,0.000000,HURTS
micro_breakout,40,0,0,40,-0.125068,0.291888,0.485362,-1.458416,-0.061590,2932,0.000000,HURTS
session_opening_range,40,0,0,40,-0.096980,0.286487,0.432008,-1.172488,-0.056095,1807,0.000000,HURTS
bollinger_touch,20,0,3,17,-0.046305,0.595419,0.367401,-0.614007,0.002230,620,0.150000,HELPS
vwap_deviation,20,0,0,0,,,,,,204,0.000000,NEUTRAL
