strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
prev_day_hl,36,0,0,2,-0.155117,0.325758,0.935750,-0.913907,0.013898,391,0.000000,HELPS
rsi_extreme,48,0,0,2,-0.016358,0.490476,0.882934,-0.698716,-0.015641,494,0.000000,HURTS
ema_cross,432,0,0,44,-0.159416,0.141248,0.850243,-2.817486,-0.014023,4366,0.000000,HURTS
ema_alignment,36,0,0,11,-0.096270,0.115488,0.767086,-2.494826,-0.000550,487,0.000000,HURTS
bollinger_touch,24,0,4,6,-0.009002,0.505715,0.761688,-0.080936,0.024176,476,0.166667,HELPS
ny_breakout,24,0,0,8,-0.085995,0.370629,0.746000,-0.647829,-0.025711,303,0.000000,HURTS
pullback_ema,48,0,1,24,-0.113243,0.175754,0.676300,-2.387746,-0.035596,1129,0.020833,HURTS
session_opening_range,48,0,1,27,-0.115700,0.308640,0.632377,-1.466655,-0.042674,1151,0.020833,HURTS
structure_filters,48,1,3,36,-0.173398,0.279849,0.540843,-2.532350,-0.032029,3873,0.083333,HURTS
macd_direction,24,0,3,18,-0.158277,0.276778,0.489800,-1.731144,-0.056633,1101,0.125000,HURTS
london_breakout,24,0,0,0,,,,,,63,0.000000,NEUTRAL
ob_bos,96,0,0,0,,,,,,669,0.000000,NEUTRAL
vwap_deviation,24,0,0,0,,,,,,149,0.000000,NEUTRAL
