strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
macd_direction,30,2,4,24,-0.164533,0.334072,0.552585,-1.072558,-0.110864,2226,0.200000,HURTS
pullback_ema,60,1,6,53,-0.107928,0.165921,0.483293,-1.699706,-0.071455,3183,0.116667,HURTS
session_opening_range,60,0,6,54,-0.100261,0.309192,0.451416,-0.917852,-0.078673,2692,0.100000,HURTS
rsi_extreme,60,0,1,0,0.033984,0.666667,0.421873,0.701851,0.036310,694,0.016667,HELPS
prev_day_hl,45,0,5,22,-0.143695,0.329920,0.409397,-0.923175,-0.136900,1385,0.111111,HURTS
bollinger_touch,30,4,9,16,0.071321,0.631179,0.383395,-0.070095,0.051227,911,0.433333,HELPS
london_breakout,30,0,0,2,-0.125185,0.250000,0.375363,-1.456310,-0.043986,395,0.000000,HURTS
ema_alignment,45,0,0,7,-0.290138,0.136240,0.371900,-3.396465,-0.092106,708,0.000000,HURTS
ema_cross,540,0,0,229,-0.215585,0.192758,0.350337,-2.013933,-0.095338,9920,0.000000,HURTS
vwap_deviation,30,0,1,0,0.262515,0.900000,0.320000,3.352038,0.170681,254,0.033333,HELPS
ny_breakout,30,0,0,0,,,,,,298,0.000000,NEUTRAL
