strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
london_breakout,24,0,0,2,-0.014414,0.307692,0.938000,-0.420919,-0.012769,413,0.000000,HURTS
rsi_extreme,48,0,1,1,0.014356,0.725000,0.915635,0.785775,0.010692,560,0.020833,HELPS
prev_day_hl,36,0,6,6,0.000747,0.400927,0.819500,-0.010736,-0.028158,594,0.166667,HURTS
ob_bos,96,0,0,17,-0.051568,0.222596,0.703391,-2.761193,-0.019685,1351,0.000000,HURTS
ema_cross,432,0,0,124,-0.044167,0.190194,0.631926,-2.695670,-0.020588,7032,0.000000,HURTS
macd_direction,24,0,4,20,-0.052018,0.276266,0.585233,-3.112947,-0.029743,1771,0.166667,HURTS
session_opening_range,48,0,6,42,-0.036374,0.289977,0.500573,-2.428471,-0.023175,2234,0.125000,HURTS
pullback_ema,48,0,0,48,-0.054466,0.137094,0.497520,-4.012802,-0.023803,2508,0.000000,HURTS
structure_filters,48,0,2,46,-0.145220,0.187167,0.467996,-8.062888,-0.043019,7244,0.041667,HURTS
ema_alignment,36,0,0,34,-0.040072,0.154229,0.420112,-2.384998,-0.014546,937,0.000000,HURTS
bollinger_touch,24,0,2,20,-0.020343,0.491870,0.409330,-1.250451,0.004188,716,0.083333,HELPS
ny_breakout,24,0,0,0,,,,,,218,0.000000,NEUTRAL
vwap_deviation,24,0,0,0,,,,,,238,0.000000,NEUTRAL
