strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
london_breakout,12,0,0,2,-0.080243,0.136364,0.873922,-3.561883,-0.002954,191,0.000000,HURTS
prev_day_hl,18,0,0,6,-0.256043,0.261145,0.808099,-2.921585,-0.050959,300,0.000000,HURTS
ob_bos,48,0,0,8,-0.141413,0.207197,0.756637,-2.804954,-0.034605,650,0.000000,HURTS
ema_cross,216,0,0,48,-0.111468,0.178177,0.656165,-2.341212,-0.031530,2969,0.000000,HURTS
ema_alignment,18,0,4,9,-0.027512,0.235678,0.591665,-0.579171,-0.010611,401,0.222222,HURTS
macd_direction,12,0,0,12,-0.132423,0.283952,0.585902,-2.336840,-0.070520,930,0.000000,HURTS
session_opening_range,24,0,2,22,-0.118490,0.272214,0.507292,-1.891376,-0.038605,1149,0.083333,HURTS
bollinger_touch,12,0,4,7,0.030156,0.628709,0.490986,0.408370,0.008631,365,0.333333,HELPS
structure_filters,24,0,0,24,-0.195544,0.237728,0.457160,-4.127309,-0.057876,3603,0.000000,HURTS
pullback_ema,24,0,5,19,-0.047158,0.216666,0.452504,-1.234681,-0.011743,1123,0.208333,HURTS
ny_breakout,12,0,0,0,,,,,,120,0.000000,NEUTRAL
rsi_extreme,24,0,0,0,,,,,,300,0.000000,NEUTRAL
vwap_deviation,12,0,0,0,,,,,,78,0.000000,NEUTRAL
