asset_class,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
crypto,0.627786,13,1.783427,13,0.009502,13,1.308756,13,1.105012,13,0.328944,13,0.086573,13,0.628834,13,37.307692,13
forex,0.480000,2,1.016636,2,0.000036,2,0.057827,2,0.047029,2,0.001065,2,-0.008575,2,0.566667,2,50.000000,2
