timeframe,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
H1,0.376111,7,1.129858,7,0.000191,7,0.112994,7,0.227065,7,0.004176,7,-0.013329,7,0.385180,7,25.428571,7
H4,0.438198,14,1.387372,14,0.001034,14,0.330787,14,0.668954,14,0.040841,14,-0.020098,14,0.475108,14,49.928571,14
M15,0.538462,1,1.422134,1,0.000207,1,0.302373,1,0.606477,1,0.005357,1,0.004389,1,0.462282,1,26.000000,1
