strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
ema_scalp_pullback,96,0,4,87,-0.191365,0.165526,0.544118,-3.932207,-0.073515,10909,0.041667,HURTS
macd_direction,96,2,8,84,-0.119951,0.289715,0.514829,-1.926376,-0.077704,6599,0.104167,HURTS
micro_breakout,192,4,32,146,-0.107520,0.284402,0.514280,-2.157781,-0.070294,13414,0.187500,HURTS
pullback_ema,192,0,15,153,-0.078247,0.158210,0.469292,-2.784591,-0.041293,8655,0.078125,HURTS
prev_day_hl,144,1,9,34,-0.121691,0.332529,0.459823,-1.072867,-0.093774,2739,0.069444,HURTS
structure_filters,192,1,15,164,-0.179252,0.246318,0.456063,-4.341283,-0.071289,25273,0.083333,HURTS
session_opening_range,192,0,32,137,-0.079151,0.292009,0.451791,-1.638862,-0.059035,7709,0.166667,HURTS
london_breakout,96,0,2,8,-0.064066,0.324066,0.369171,-0.807605,-0.043195,1215,0.020833,HURTS
ob_bos,384,0,0,38,-0.092108,0.262072,0.364405,-1.999262,-0.050434,4461,0.000000,HURTS
bollinger_touch,96,2,22,52,0.007979,0.560507,0.360169,-0.450345,0.028705,2607,0.250000,HELPS
bb_squeeze_breakout,192,0,13,127,-0.055135,0.287369,0.356448,-1.865469,-0.028014,3998,0.067708,HURTS
ema_cross,1728,0,6,482,-0.132199,0.166043,0.339934,-2.580369,-0.052190,26189,0.003472,HURTS
atr_compression,192,0,4,49,-0.078783,0.176664,0.336920,-1.951135,-0.040217,3109,0.020833,HURTS
vwap_reclaim,192,0,0,12,-0.159966,0.082724,0.333549,-5.904476,-0.066706,1906,0.000000,HURTS
ema_alignment,144,0,0,9,-0.179356,0.110287,0.327270,-3.850515,-0.033848,1853,0.000000,HURTS
vwap_deviation,96,0,1,0,0.264826,0.900000,0.320000,3.384644,0.172824,763,0.010417,HELPS
ny_breakout,96,0,2,7,-0.058975,0.348999,0.263525,-0.448904,-0.073526,975,0.020833,HURTS
rsi_extreme,192,0,0,1,-0.027483,0.318182,0.232000,-1.642898,-0.024004,2134,0.000000,HURTS
