strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
ema_scalp_pullback,96,0,4,87,-0.191748,0.165459,0.543663,-3.940600,-0.073527,10917,0.041667,HURTS
macd_direction,96,2,8,84,-0.119766,0.289748,0.515057,-1.923388,-0.077704,6598,0.104167,HURTS
micro_breakout,192,4,32,146,-0.107641,0.284331,0.514028,-2.158143,-0.070295,13416,0.187500,HURTS
pullback_ema,192,0,15,153,-0.078357,0.157953,0.470791,-2.790696,-0.041284,8657,0.078125,HURTS
prev_day_hl,144,1,9,34,-0.121691,0.332529,0.459823,-1.072867,-0.093774,2739,0.069444,HURTS
structure_filters,192,1,15,164,-0.179359,0.246222,0.456121,-4.344385,-0.071318,25273,0.083333,HURTS
session_opening_range,192,0,32,137,-0.079281,0.291933,0.451773,-1.639251,-0.059136,7711,0.166667,HURTS
london_breakout,96,0,2,8,-0.064066,0.324066,0.369171,-0.807605,-0.043195,1215,0.020833,HURTS
ob_bos,384,0,0,38,-0.092108,0.262072,0.364405,-1.999262,-0.050434,4461,0.000000,HURTS
bollinger_touch,96,2,22,52,0.007979,0.560507,0.360169,-0.450345,0.028705,2607,0.250000,HELPS
bb_squeeze_breakout,192,0,13,127,-0.055098,0.287217,0.356708,-1.867918,-0.028014,4002,0.067708,HURTS
atr_compression,192,0,4,49,-0.078821,0.176664,0.337568,-1.952133,-0.040217,3107,0.020833,HURTS
ema_cross,1728,0,6,477,-0.131839,0.166402,0.336752,-2.560302,-0.052264,26079,0.003472,HURTS
vwap_reclaim,192,0,0,12,-0.159966,0.082724,0.333549,-5.904476,-0.066706,1910,0.000000,HURTS
vwap_deviation,96,0,1,0,0.264826,0.900000,0.320000,3.384644,0.172824,765,0.010417,HELPS
ema_alignment,144,0,0,7,-0.205298,0.087376,0.271455,-4.361609,-0.030483,1838,0.000000,HURTS
ny_breakout,96,0,2,7,-0.058975,0.348999,0.263525,-0.448904,-0.073526,975,0.020833,HURTS
rsi_extreme,192,0,0,1,-0.027483,0.318182,0.232000,-1.642898,-0.024004,2136,0.000000,HURTS
