timeframe,win_rate_mean,win_rate_count,profit_factor_mean,profit_factor_count,expectancy_mean,expectancy_count,sharpe_mean,sharpe_count,sqn_mean,sqn_count,net_return_mean,net_return_count,oos_return_mean,oos_return_count,robustness_score_mean,robustness_score_count,trade_count_mean,trade_count_count
H1,0.396559,67,1.356291,67,0.001443,67,0.256841,67,0.491449,67,0.044299,67,-0.033716,67,0.435621,67,37.776119,67
H4,0.430344,96,1.524944,96,0.004539,96,0.393095,96,0.762483,96,0.160796,96,-0.018324,96,0.474880,96,54.041667,96
M15,0.573919,12,2.156333,12,0.001930,12,0.397476,12,0.831446,12,0.077713,12,0.064007,12,0.427304,12,31.416667,12
