avg_mae,avg_mfe,avg_r,be_touch_rate,group_key,max_drawdown_r,median_mae,median_mfe,median_r,pct_ambiguous_intrabar,pct_clean_entry,pct_early_adverse,pct_pos_mfe_neg_final_r,pct_tp_exceeded_mfe,plus_0_25r_touch_rate,plus_0_5r_touch_rate,plus_1_0r_touch_rate,profit_factor,sl_hit_rate,sqn,tp_hit_rate,trade_count,win_rate
0.7619,0.6702,-0.4036,0.0,H1->H1|bar_native,26.636,0.85,0.52,-0.3854,0.0,33.33,0.0,66.67,98.48,0.0,0.0,0.0,0.3506,39.39,-3.7805,28.79,66,33.33
0.7064,0.6121,-0.2369,0.0,H4->H4|bar_native,5.0429,0.7847,0.4853,-0.3659,0.0,42.11,0.0,57.89,100.0,0.0,0.0,0.0,0.532,31.58,-1.233,26.32,19,42.11
